machine_id,machine_type,manufacturer,model,max_capacity,power_rating,location,installation_date,last_service_date,sensor_list
CNC_PUNCH_01,CNC_Punching,Amada,Vipros 255,80,33.92860784417951,Production Line 1,2024-04-23,2025-09-30 06:21:15.744365,"['temperature', 'vibration', 'current', 'rpm', 'tool_wear']"
LASER_CUTTER_01,Laser_Cutting,Bystronic,Xpert 1500,164,12.550082293420799,Production Line 1,2023-03-04,2025-09-04 06:21:15.744365,"['temperature', 'vibration', 'current', 'cutting_speed', 'blade_wear']"
BENDER_01,Press_Brake,Trumpf,TruBend 5130,192,40.7694034480129,Production Line 1,2022-12-25,2025-08-12 06:21:15.744365,"['temperature', 'vibration', 'current', 'hydraulic_pressure', 'bending_force']"
WELDER_01,Welding,Fronius,TPS 5000,53,6.06850596839969,Production Line 1,2024-09-20,2025-08-28 06:21:15.744365,"['temperature', 'vibration', 'current', 'arc_voltage', 'gas_flow']"
POLISHER_01,Polishing,Walter,Helitronic,150,14.486885044663712,Production Line 1,2023-12-30,2025-07-31 06:21:15.744365,"['temperature', 'vibration', 'current', 'rpm', 'coolant_flow']"
Paint_01,Painting,Wagner,Spraytech,124,14.999268487605017,Production Line 1,2024-06-16,2025-09-28 06:21:15.744365,"['temperature', 'vibration', 'spray_pressure', 'nozzle_temp', 'coating_thickness', 'humidity']"
INJECTION_MOULDING_01,Injection_Molding,Arburg,Allrounder 470S,148,32.89958902665892,Production Line 2,2023-06-21,2025-07-27 06:21:15.744365,"['temperature', 'vibration', 'current', 'barrel_temp', 'screw_speed', 'injection_pressure', 'clamping_force', 'cycle_time']"
Assembly_01,Assembly,Custom,Jig & Fixture Setup,152,47.16814001865434,Production Line 2,2022-07-26,2025-09-14 06:21:15.744365,"['temperature', 'vibration', 'assembly_time', 'torque_applied', 'component_missing']"
MaterialApp_01,Material_Application,Custom,Requisition Station,139,10.90898050224574,Production Line 1,2022-05-19,2025-09-19 06:21:15.744365,"['temperature', 'material_level']"
Blanking_01,Blanking,Trumpf,TruPunch 1000,134,29.123933013504157,Production Line 1,2022-04-19,2025-07-18 06:21:15.744365,"['temperature', 'vibration', 'current', 'tool_wear']"
Fitter_01,Fitter,Custom,Riveting Station,173,42.870959402430906,Production Line 1,2022-08-24,2025-08-11 06:21:15.744365,"['temperature', 'vibration', 'rivet_count']"
SemiInspect_01,Semi_Finished_Inspection,Zeiss,CMM Machine,107,44.328578624843864,Production Line 1,2022-01-25,2025-08-27 06:21:15.745376,"['temperature', 'measurement_accuracy']"
SilkPrint_01,Silk_Printing,Custom,Logo Etching Station,155,45.007692430510794,Production Line 1,2024-05-29,2025-08-09 06:21:15.745376,"['temperature', 'ink_flow']"
FinalAssy_01,Final_Assembly,Custom,Screw & Rivet Station,66,12.217649451861607,Production Line 1,2024-07-13,2025-10-06 06:21:15.745376,"['temperature', 'torque_applied', 'fastener_count']"
QualityInspect_01,Quality_Inspection,Keyence,Vision System,59,33.78673923276971,Production Line 1,2023-02-11,2025-08-23 06:21:15.745376,"['temperature', 'camera_quality']"
Warehouse_01,Warehousing,Custom,Packaging Station,141,43.51340730390643,Production Line 1,2023-07-05,2025-09-28 06:21:15.745376,"['temperature', 'package_count']"
Shipment_01,Shipment,Custom,Loading Station,73,12.613389863883041,Production Line 1,2022-11-04,2025-08-20 06:21:15.745376,"['temperature', 'load_weight']"
MouldPrep_01,Mould_Preparation,Custom,Die Preparation Station,93,7.2556538418739684,Production Line 2,2023-11-06,2025-09-08 06:21:15.745376,"['temperature', 'preparation_time']"
MachineSelect_01,Machine_Selection,Custom,Selection Station,185,20.378100618747574,Production Line 2,2023-01-17,2025-08-02 06:21:15.745376,"['temperature', 'selection_time']"
MaterialSelect_01,Material_Selection,Custom,Granule Selection Station,92,22.863703610050766,Production Line 2,2022-07-05,2025-09-07 06:21:15.745376,"['temperature', 'material_level']"
Preheating_01,Preheating,Custom,Preheating Station,53,37.301680785090525,Production Line 2,2024-02-26,2025-07-20 06:21:15.745376,"['temperature', 'heating_time']"
Cooling_01,Cooling,Custom,Cooling Station,132,30.62967377724789,Production Line 2,2022-08-29,2025-08-17 06:21:15.745376,"['temperature', 'cooling_time']"
Ejection_01,Component_Ejection,Custom,Ejection Station,84,20.78257992366016,Production Line 2,2022-10-05,2025-09-22 06:21:15.745376,"['temperature', 'ejection_force']"
Degating_01,Degating,Custom,Degating Station,113,15.518888410154949,Production Line 2,2023-11-08,2025-08-27 06:21:15.745376,"['temperature', 'cutting_force']"
SurfaceTreat_01,Surface_Treatment,Custom,Primer Station,128,28.954941738676414,Production Line 2,2022-01-21,2025-08-04 06:21:15.745376,"['temperature', 'coating_thickness']"
QCPacking_01,QC_Packing,Custom,QC & Packing Station,84,45.81057371520129,Production Line 2,2023-08-26,2025-09-28 06:21:15.745376,"['temperature', 'inspection_time']"
