event_id,timestamp,machine_id,event_type,fault_code,severity,description,resolved_timestamp,resolution_action,downtime_minutes
EVT_000001,2025-01-03 18:00:00,PRESS_01,fault_code,,low,Event description 1,2025-01-03 19:13:00,cleaned_machine,15
EVT_000002,2025-01-03 11:00:00,GRINDER_01,toolchange,,high,Event description 2,2025-01-03 12:30:00,adjusted_settings,40
EVT_000003,2025-01-03 19:00:00,LASER_01,manual_andon,,critical,Event description 3,2025-01-03 19:43:00,adjusted_settings,75
EVT_000004,2025-01-05 20:00:00,COMPRESSOR_01,fault_code,FC_115,critical,Event description 4,,,0
EVT_000005,2025-01-05 08:00:00,VF2_01,operator_note,,critical,Event description 5,2025-01-05 09:22:00,cleaned_machine,26
EVT_000006,2025-01-05 09:00:00,PRESS_01,manual_andon,,critical,Event description 6,,,0
EVT_000007,2025-01-05 15:00:00,COMPRESSOR_01,fault_code,,medium,Event description 7,2025-01-05 15:47:00,cleaned_machine,65
EVT_000008,2025-01-05 21:00:00,ST10_01,operator_note,FC_403,medium,Event description 8,2025-01-05 21:55:00,adjusted_settings,114
EVT_000009,2025-01-07 10:00:00,VF2_01,fault_code,FC_652,medium,Event description 9,2025-01-07 11:45:00,replaced_part,33
EVT_000010,2025-01-07 22:00:00,COMPRESSOR_01,manual_andon,,medium,Event description 10,2025-01-07 22:21:00,adjusted_settings,26
EVT_000011,2025-01-07 22:00:00,KUKA_01,toolchange,,critical,Event description 11,,,0
EVT_000012,2025-01-07 09:00:00,COMPRESSOR_01,manual_andon,,low,Event description 12,,,0
